mH     mA      mC        tb      cba        m122      wh             wH               wA              wC             Sigma(A)xBR(A>HV)    Sigma(A)xBR(A>HH)
200     300     300       1       0          20000     0.00433795     0.00591187       0.125089        8.51763        26492.6              0
200     350     350       1       0          20000     0.00433784     0.00591187        3.73614          14.34        36356.8              0
200     400     400       1       0          20000     0.00433777     0.00591187        21.0966        21.8314        9765.48              0
200     450     450       1       0          20000     0.00433773     0.00591187         31.792        31.1885        7064.94              0
200     500     500       1       0          20000      0.0043377     0.00591187        43.8833        42.6622        4973.08              0
200     550     550       1       0          20000     0.00433767     0.00591187        58.0707        56.5117         3444.6              0
200     600     600       1       0          20000     0.00433765     0.00591187        74.7589         72.996        2380.53              0
200     300     300       2       0          16000     0.00433795      0.0176823       0.129073        2.36757        6034.43              0
200     350     350       2       0          16000     0.00433784      0.0176823        2.50786        5.47568        13156.1              0
200     400     400       2       0          16000     0.00433777      0.0176823        9.82783        10.4403         5198.9              0
200     450     450       2       0          16000     0.00433773      0.0176823        17.0623        17.4334        3289.68              0
200     500     500       2       0          16000      0.0043377      0.0176823        26.3749        26.6761        2077.37              0
200     550     550       2       0          16000     0.00433767      0.0176823        38.1058         38.402        1322.02              0
200     600     600       2       0          16000     0.00433765      0.0176823        52.5284        52.8502        855.127              0
200     300     300       3       0          12000     0.00433795      0.0390181       0.156686        1.24422        1992.84              0
200     350     350       3       0          12000     0.00433784      0.0390181        2.31098        3.85492        6046.31              0
200     400     400       3       0          12000     0.00433777      0.0390181        7.77525         8.3564        2885.65              0
200     450     450       3       0          12000     0.00433773      0.0390181        14.3724        14.9162        1736.78              0
200     500     500       3       0          12000      0.0043377      0.0390181         23.174          23.75        1059.45              0
200     550     550       3       0          12000     0.00433767      0.0390181        34.4534        35.0868        658.495              0
200     600     600       3       0          12000     0.00433765      0.0390181        48.4599        49.1618        418.911              0
200     300     300       7       0           5600     0.00433795       0.211283       0.396844       0.639121        77.5811              0
200     350     350       7       0           5600     0.00433784       0.211283        2.43515        2.96833         718.25              0
200     400     400       7       0           5600     0.00433777       0.211283        6.71759        7.20697         593.87              0
200     450     450       7       0           5600     0.00433773       0.211283        12.9281        13.5208        376.911              0
200     500     500       7       0           5600      0.0043377       0.211283        21.4251        22.1225          235.3              0
200     550     550       7       0           5600     0.00433767       0.211283        32.4386        33.2387        148.184              0
200     600     600       7       0           5600     0.00433765       0.211283        46.2019        47.1024        95.0561              0
200     300     300      10       0         3960.4     0.00433795       0.431083       0.705032       0.732055        39.5722              0
200     350     350      10       0         3960.4     0.00433784       0.431083        2.76871        3.08372        215.347              0
200     400     400      10       0         3960.4     0.00433777       0.431083        6.95353        7.34224        317.939              0
200     450     450      10       0         3960.4     0.00433773       0.431083        13.1571        13.6745        220.633              0
200     500     500      10       0         3960.4      0.0043377       0.431083         21.656        22.2939         143.26              0
200     550     550      10       0         3960.4     0.00433767       0.431083        32.6754        33.4271        92.1347              0
200     600     600      10       0         3960.4     0.00433765       0.431083        46.4468        47.3076        59.8334              0
200     300     300      15       0        2654.87     0.00433795        0.96984        1.46077        1.12374         60.461              0
200     350     350      15       0        2654.87     0.00433784        0.96984         3.6195        3.60275        140.169              0
200     400     400      15       0        2654.87     0.00433777        0.96984        7.83223        7.97733        252.044              0
200     450     450      15       0        2654.87     0.00433773        0.96984        14.1108        14.4179        181.277              0
200     500     500      15       0        2654.87      0.0043377        0.96984        22.6885        23.1399        118.978              0
200     550     550      15       0        2654.87     0.00433767        0.96984        33.7879        34.3715        76.6524              0
200     600     600      15       0        2654.87     0.00433765        0.96984        47.6395        48.3471        49.6779              0
200     300     300      20       0        1995.01     0.00433795        1.72411        2.51892        1.72002        76.4772              0
200     350     350      20       0        1995.01     0.00433784        1.72411        4.82031        4.39845        245.396              0
200     400     400      20       0        1995.01     0.00433777        1.72411        9.15024        8.95518        311.224              0
200     450     450      20       0        1995.01     0.00433773        1.72411        15.5608        15.5657        217.575              0
200     500     500      20       0        1995.01      0.0043377        1.72411        24.2704        24.4488         140.36              0
200     550     550      20       0        1995.01     0.00433767        1.72411        35.5008        35.8348        89.1573              0
200     600     600      20       0        1995.01     0.00433765        1.72411        49.4825        49.9594        57.0735              0
200     300     300      25       0        1597.44     0.00433795        2.69389        3.87942        2.49981        85.6255              0
200     350     350      25       0        1597.44     0.00433784        2.69389        6.36688        5.44044         356.67              0
200     400     400      25       0        1597.44     0.00433777        2.69389        10.8689        10.2368        395.777              0
200     450     450      25       0        1597.44     0.00433773        2.69389        17.4566        17.0709        275.499              0
200     500     500      25       0        1597.44      0.0043377        2.69389        26.3417        26.1658        177.078              0
200     550     550      25       0        1597.44     0.00433767        2.69389        37.7458        37.7547        111.908              0
200     600     600      25       0        1597.44     0.00433765        2.69389        51.8995        52.0753        71.2189              0
200     300     300      30       0        1331.85     0.00433795        3.87917        5.54227         3.4579        91.0801              0
200     350     350      30       0        1331.85     0.00433784        3.87917        8.25815        6.72121        446.159              0
200     400     400      30       0        1331.85     0.00433777        3.87917        12.9787        11.8124        478.083              0
200     450     450      30       0        1331.85     0.00433773        3.87917        19.7857        18.9217        337.949              0
200     500     500      30       0        1331.85      0.0043377        3.87917        28.8876        28.2774        219.306              0
200     550     550      30       0        1331.85     0.00433767        3.87917        40.5059        40.1161        139.243              0
200     600     600      30       0        1331.85     0.00433765        3.87917        54.8717        54.6779         88.762              0
200     300     300      40       0        999.375     0.00433795        6.89626        9.77499        5.90291        96.8528              0
200     350     350      40       0        999.375     0.00433784        6.89626        13.0736        9.99033        565.005              0
200     400     400      40       0        999.375     0.00433777        6.89626        18.3605        15.8347         610.34              0
200     450     450      40       0        999.375     0.00433773        6.89626        25.7293        23.6469        452.227              0
200     500     500      40       0        999.375      0.0043377        6.89626        35.3856        33.6686        303.884              0
200     550     550      40       0        999.375     0.00433767        6.89626         47.552        46.1453        197.599              0
200     600     600      40       0        999.375     0.00433765        6.89626          62.46        61.3231        127.989              0
200     300     300      50       0         799.68     0.00433795        10.7754        15.2171        9.04978        99.6448              0
200     350     350      50       0         799.68     0.00433784        10.7754        19.2655        14.1982        633.332              0
200     400     400      50       0         799.68     0.00433777        10.7754         25.286        21.0124        700.742              0
200     450     450      50       0         799.68     0.00433773        10.7754        33.3789        29.7295        541.907              0
200     500     500      50       0         799.68      0.0043377        10.7754        43.7497        40.6087        377.613              0
200     550     550      50       0         799.68     0.00433767        10.7754        56.6219        53.9068        252.645              0
200     600     600      50       0         799.68     0.00433765        10.7754        72.2282        69.8777        167.266              0
