mC mH tb Zd Ze
400 200 5 0.107753 0.108526
600 400 50 0.697821 0.728444
700 500 10 0.215486 0.218333
700 500 20 0.593114 0.615114
1100 900 1 0.000333929 0.000333935
500 300 20 0.138184 0.13946
700 500 1 0.00164633 0.00164649
700 500 5 0.124377 0.125321
2000 1800 5 0.00330372 0.00330443
2000 1800 10 0.0134158 0.0134271
2000 1800 1 5.86547e-05 5.86537e-05
800 600 5 0.109378 0.110108
1500 1300 30 0.145416 0.146757
1000 800 30 0.698727 0.72943
1000 800 50 0.972926 1.03334
1100 900 10 0.0654757 0.065751
1100 900 5 0.0419717 0.0420828
800 600 50 1.23841 1.33772
2500 2300 1 7.8295e-06 7.85369e-06
1300 1100 1 0.000171395 0.000171397
2400 2200 30 0.0383835 0.038473
1300 1100 20 0.190215 0.192481100 900 30 0.546571 0.565208
700 500 30 0.954858 1.01299
700 500 50 1.50891 1.65855
2500 2300 20 0.022961 0.022993
1300 1100 10 0.0678566 0.0681434
800 600 1 0.000911478 0.000911528
1200 1000 5 0.050328 0.050482
2500 2300 10 0.00925052 0.00925571
1300 1100 30 0.194136 0.196558
1200 1000 1 0.000407673 0.000407683
2500 2300 30 0.0165133 0.0165306
1100 900 50 0.744135 0.779044
2400 2200 10 0.0107397 0.0107467
800 600 30 1.03536 1.10401
800 600 20 0.681498 0.71068
2100 1900 5 0.0047802 0.00478164
2000 1800 20 0.0357652 0.0358459
2400 2200 50 0.0479393 0.048079
800 600 10 0.249933 0.25377
900 700 50 1.1549 1.24087
1000 800 20 0.425783 0.437021
1000 800 1 0.000549837 0.000549856
900 700 5 0.0356985 0.0357814
900 700 1 0.000967937 0.000967994
1000 800 5 0.061019 0.0612508
1000 800 10 0.148841 0.150195
900 700 10 0.204827 0.207398
900 700 20 0.517265 0.53393
2500 2300 50 0.0245973 0.0246354
1200 1000 10 0.0577681 0.0579809
1200 1000 30 0.454867 0.467713
1200 1000 50 0.334297 0.341539
51701
2000 1800 30 0.0499905 0.0501483
2100 1900 1 2.95588e-05 2.95582e-05
900 700 30 0.608464 0.631636
1400 1200 1 0.000132786 0.000132786
1300 1100 50 0.250925 0.254985
1400 1200 10 0.0433811 0.0434999
1400 1200 5 0.0125209 0.012531
1400 1200 20 0.106229 0.10695
1400 1200 30 0.179785 0.18184
1300 1100 5 0.0179713 0.017992
1400 1200 50 0.293589 0.299025
1500 1300 10 0.0433994 0.0435165
1500 1300 5 0.0243778 0.0244139
1500 1300 1 0.000137647 0.000137649
1500 1300 20 0.0648762 0.0651479
1600 1400 1 7.63059e-05 7.6309e-05
400 200 1 0.588163 0.61188
1700 1500 1 6.89601e-05 6.89592e-05
500 300 30 0.256502 0.260545
500 300 50 0.391497 0.401904
1800 1600 20 0.0443591 0.0444844
2300 2100 50 0.057613 0.0578149
2300 2100 30 0.0458994 0.0460275
2400 2200 1 1.64558e-05 1.64554e-05
2400 2200 5 0.00462399 0.00462528
2300 2100 10 0.00794466 0.00794864
2300 2100 20 0.0203285 0.0203545
600 400 20 0.317038 0.323233
1800 1600 5 0.0106314 0.0106385
1500 1300 50 0.238203 0.241771
0 400 5 0.0828419 0.0832598
600 400 10 0.188989 0.191176
600 400 1 0.0023151 0.00231543
1900 1700 5 0.0058384 0.00584057
1600 1400 50 0.112691 0.113508
1600 1400 5 0.0124567 0.0124664
1600 1400 20 0.10014 0.100766
1900 1700 1 5.59885e-05 5.59913e-05
1800 1600 30 0.0935604 0.0941064
1800 1600 10
1700 1500 20 0.102367 0.103006
1600 1400 30 0.0860911 0.0865676
1700 1500 10 0.0298201 0.0298754
1900 1700 10 0.0138341 0.0138463
2300 2100 5 0.00543415 0.00543594
1700 1500 5 0.0166649 0.0166817
1900 1700 50 0.0663144 0.0665948
1800 1600 50 0.156765 0.158267
2100 1900 20 0.0244665 0.0245046
1600 1400 10 0.0249008 0.0249402
2100 1900 30 0.0411967 0.0413037
2200 2000 50 0.0202112 0.0202377
2200 2000 1 2.99529e-05 2.99586e-05
2200 2000 5 0.00336082 0.00336154
2200 2000 10 0.00794906 0.00795308
2200 2000 30 0.0543643 0.054544
1900 1700 20 0.0428493 0.0429651
2100 1900 50 0.0645294 0.0647888
2300 2100 1 2.46016e-05 2.46056e-05
2200 2000 20 0.0391055 0.0391984
1900 1700 30 0.0397587 0.0398606
1700 1500 30 0.0780252 0.0784137
1700 1500 50 0.0888899 0.089398
1800 1600 1 5.64705e-05 5.64739e-05
