mC mH tb Zd Ze
1000 800 1.5 0.00681699 0.00681963
1000 810 1.5 0.0058344 0.00583633
1000 820 1.5 0.00320531 0.00320593
1000 840 1.5 0.00407146 0.0040724
1000 850 1.5 0.00326619 0.0032668
1000 860 1.5 0.00245569 0.00245604
1000 880 1.5 0.0012692 0.00126929
1000 890 1.5 0.000884696 0.000884741
1000 900 1.5 0.000407266 0.000407276
1050 850 1.5 0.00612153 0.00612366
1050 860 1.5 0.0060015 0.00600355
1050 870 1.5 0.00436814 0.00436923
1050 880 1.5 0.00409194 0.00409289
1050 890 1.5 0.00350846 0.00350916
1050 900 1.5 0.00280083 0.00280127
1050 910 1.5 0.0021576 0.00215787
1050 920 1.5 0.00168517 0.00168533
1050 930 1.5 0.000836068 0.000836109
1050 940 1.5 0.000725406 0.000725435
1050 950 1.5 0.000375661 0.000375669
1100 1000 1.5 0.000334921 0.000334928
1100 900 1.5 0.00423286 0.00423392
1100 910 1.5 0.00268084 0.00268128
1100 920 1.5 0.00416996 0.00417095
1100 930 1.5 0.00380003 0.00380085
1100 940 1.5 0.00145543 0.00145556
1100 950 1.5 0.00245381 0.00245415
1100 960 1.5 0.00159758 0.00159773
1100 970 1.5 0.000705119 0.00070515
1100 980 1.5 0.000569725 0.000569745
1100 990 1.5 0.000616899 0.00061692
1150 1000 1.5 0.00217329 0.00217356
1150 1010 1.5 0.00094778 0.000947835
1150 1020 1.5 0.00123747 0.00123756
1150 1030 1.5 0.000873182 0.000873226
1150 1040 1.5 0.000427432 0.000427442
1150 1050 1.5 0.00017684 0.000176843
1150 950 1.5 0.00390089 0.00390178
1150 960 1.5 0.0027937 0.00279417
1150 970 1.5 0.00111588 0.00111596
1150 980 1.5 0.00343993 0.0034406
1150 990 1.5 0.00203679 0.00203704
1200 1000 1.5 0.00409658 0.00409753
1200 1010 1.5 0.0013847 0.00138482
1200 1020 1.5 0.00135727 0.00135739
1200 1030 1.5 0.00224245 0.00224275
1200 1040 1.5 0.00215128 0.00215154
1200 1050 1.5 0.000805129 0.00080517
1200 1060 1.5 0.00144068 0.0014408
1200 1070 1.5 0.000532778 0.000532796
1200 1080 1.5 0.000467755 0.000467768
1200 1100 1.5 0.000195016 0.000195019
1250 1050 1.5 0.00274093 0.00274137
1250 1060 1.5 0.00214582 0.0021461
1250 1070 1.5 0.00225634 0.00225664
1250 1080 1.5 0.00250844 0.00250879
1250 1090 1.5 0.00100305 0.00100311
1250 1100 1.5 0.00169077 0.00169094
1250 1110 1.5 0.00130365 0.00130374
1250 1120 1.5 0.000632262 0.000632286
1250 1130 1.5 0.000546337 0.000546355
1250 1140 1.5 0.00041573 0.00041574
1250 1150 1.5 8.9555e-05 8.95559e-05
1300 1100 1.5 0.0031669 0.00316747
1300 1110 1.5 0.00139489 0.00139501
1300 1120 1.5 0.001227 0.0012271
1300 1130 1.5 0.00117509 0.00117518
1300 1140 1.5 0.00184194 0.00184213
1300 1150 1.5 0.0014453 0.00144542
1300 1160 1.5 0.000730859 0.000730892
1300 1170 1.5 0.00063963 0.000639654
1300 1180 1.5 0.000589505 0.000589524
1300 1190 1.5 0.00038188 0.000381888
1300 1200 1.5 0.000103628 0.000103627
1350 1150 1.5 0.00159111 0.00159127
1350 1160 1.5 0.00256533 0.0025657
1350 1170 1.5 0.00223927 0.00223956
1350 1180 1.5 0.00147827 0.0014784
1350 1190 1.5 0.00125669 0.00125678
1350 1200 1.5 0.00129688 0.00129698
