mC mH tb Zd Ze
1000 800 10 0.0628016 0.0630653
1000 800 1 0.000324416 0.000324441
1000 800 20 0.0754778 0.0758589
1000 800 30 0.308885 0.31537
1000 800 50 0.316524 0.323337
1000 800 5 0.0172484 0.0172682
1100 900 10 0.0476299 0.0477813
1100 900 1 0.000130577 0.000130558
1100 900 20 0.128961 0.130078
1100 900 30 0.214096 0.21719
1100 900 50 0.335525 0.343187
1100 900 5 0.0199821 0.0200088
1200 1000 10 0.0424287 0.0425488
1200 1000 1 0.000185936 0.000185962
1200 1000 20 0.0790548 0.0794725
1200 1000 30 0.142858 0.144227
1200 1000 50 0.385429 0.395574
1200 1000 5 0.0229124 0.0229474
1300 1100 10 0.0438124 0.0439405
1300 1100 1 0.00022269 0.000222706
1300 1100 20 0.114271 0.115146
1300 1100 30 0.149495 0.150997
1300 1100 50 0.197138 0.199753
1300 1100 5 0.0155274 0.0155434
1400 1200 10 0.0369438 0.0370348
1400 1200 1 0.000173872 0.000173872
1400 1200 20 0.0722523 0.0726006
1400 1200 30 0.166799 0.168669
1400 1200 50 0.239486 0.24336
1400 1200 5 0.0127656 0.0127765
1500 1300 10 0.0338871 0.0339636
1500 1300 1 0.000144442 0.000144421
1500 1300 20 0.115764 0.116661
1500 1300 30 0.132879 0.134063
1500 1300 50 0.305416 0.311743
1500 1300 5 0.0180711 0.0180928
1600 1400 10 0.0403179 0.0404263
1600 1400 1 0.000140478 0.000140472
1600 1400 20 0.0968532 0.0974809
1600 1400 30 0.174762 0.176815
1600 1400 50 0.241391 0.245325
1600 1400 5 0.0178956 0.0179169
1700 1500 10 0.0394016 0.039505
1700 1500 1 0.000143272 0.000143263
1700 1500 20 0.105927 0.106678
1700 1500 30 0.134148 0.135355
1700 1500 50 0.151008 0.152531
1700 1500 5 0.017443 0.0174632
1800 1600 10 0.0310248 0.0310888
1800 1600 1 0.000102886 0.000102891
1800 1600 20 0.086888 0.0873914
1800 1600 30 0.149092 0.150582
1800 1600 50 0.20286 0.205624
1800 1600 5 0.0143416 0.0143552
1900 1700 10 0.0333445 0.0334185
1900 1700 1 0.000103655 0.000103663
1900 1700 20 0.0941356 0.0947272
1900 1700 30 0.131854 0.133018
1900 1700 50 0.236864 0.240641
1900 1700 5 0.014365 0.0143787
2000 1800 10 0.0279617 0.0280136
2000 1800 1 0.000104135 0.000104132
2000 1800 20 0.0790346 0.0794512
2000 1800 30 0.130829 0.131974
2000 1800 50 0.233353 0.237012
2000 1800 5 0.0110424 0.0110505
2100 1900 10 0.0268264 0.0268741
2100 1900 1 0.00011351 0.00011349
2100 1900 20 0.0971582 0.0977871
2100 1900 30 0.0959095 0.096522
2100 1900 50 0.152177 0.153708
2100 1900 5 0.00847239 0.00847716
2200 2000 10 0.0286374 0.0286919
2200 2000 1 9.59127e-05 9.59347e-05
2200 2000 20 0.078859 0.0792714
2200 2000 30 0.0706255 0.0709551
2200 2000 50 0.169326 0.171244
2200 2000 5 0.0111861 0.0111944
2300 2100 10 0.017435 0.017455
2300 2100 1 7.48077e-05 7.48163e-05
2300 2100 20 0.0732632 0.0736185
2300 2100 30 0.11598 0.116876
2300 2100 50 0.168929 0.170798
2300 2100 5 0.0111661 0.0111743
2400 2200 10 0.0216892 0.0217202
2400 2200 1 7.55649e-05 7.55764e-05
2400 2200 20 0.0712207 0.0715574
2400 2200 30 0.0858875 0.0863765
2400 2200 50 0.0729513 0.0733051
2400 2200 5 0.00440007 0.00440134
2500 2300 10 0.0112437 0.011252
2500 2300 1 8.58156e-05 8.58152e-05
2500 2300 20 0.0499085 0.0500733
2500 2300 30 0.127962 0.129048
2500 2300 50 0.173144 0.175137
2500 2300 5 0.00929513 0.00930085
400 200 10 0.00556946 0.00557153
400 200 1 0.104903 0.105642
400 200 20 0.0243431 0.0243827
400 200 30 0.052779 0.0529653
400 200 50 0.0882321 0.0887541
400 200 5 0.0217882 0.0218199
500 300 10 0.0291892 0.0292461
500 300 1 0.213588 0.216672
500 300 20 0.0731567 0.0735151
500 300 30 0.154221 0.155823
500 300 50 0.150368 0.15189
500 300 5 0.0429024 0.0430254
600 400 10 0.0318031 0.0318706
600 400 1 0.00129573 0.00129587
600 400 20 0.0805526 0.0809873
600 400 30 0.127079 0.128165
600 400 50 0.136194 0.137441
600 400 5 0.0312833 0.0313486
700 500 10 0.0601152 0.0603569
700 500 1 0.000542876 0.000542916
700 500 20 0.21137 0.21439
700 500 30 0.266605 0.271427
700 500 50 0.450593 0.464542
700 500 5 0.0282286 0.0282818
800 600 10 0.0470632 0.0472112
800 600 1 0.000565158 0.00056522
800 600 20 0.129364 0.130488
800 600 30 0.237968 0.241801
800 600 50 0.376976 0.386686
800 600 5 0.0414142 0.0415288
900 700 10 0.0652576 0.0655425
900 700 1 0.000192538 0.000192527
900 700 20 0.184168 0.186455
900 700 30 0.285745 0.291289
900 700 50 0.32192 0.328972
900 700 5 0.0256379 0.0256817
