mC mH tb Zd Ze
516.2776 325.09 1.5 4.51837 4.50332
516.2776 425.09 1.5 0.00149552 0.00149551
816.2776 225.09 1.5 6.7102 6.64508
716.2776 525.09 1.5 0.0236588 0.0236574
616.2776 125.09 1.5 5.04842 5.03745
316.2776 225.09 1.5 0.704893 0.704693
216.2776 125.09 1.5 3.80969 3.80427
516.2776 125.09 1.5 6.41773 6.40258
816.2776 125.09 1.5 4.22353 4.18948
616.2776 525.09 1.5 0.000602278 0.000602242
416.2776 225.09 1.5 6.66545 6.64954
616.2776 425.09 1.5 0.0393141 0.0393099
716.2776 225.09 1.5 7.23485 7.10895
716.2776 425.09 1.5 0.054826 0.0548212
716.2776 625.09 1.5 0.000540635 0.000540634
416.2776 325.09 1.5 0.248513 0.24849
416.2776 125.09 1.5 8.29147 8.2727
716.2776 325.09 1.5 7.63166 7.49145
716.2776 125.09 1.5 4.30241 4.29232
616.2776 225.09 1.5 7.27945 7.24268
316.2776 125.09 1.5 10.6566 10.6236
616.2776 325.09 1.5 7.24201 7.10402
516.2776 225.09 1.5 7.34814 7.31728
816.2776 425.09 1.5 0.0603354 0.0603297
816.2776 325.09 1.5 6.82159 6.74207
816.2776 525.09 1.5 0.0249052 0.0249044
1116.2776 125.09 1.5 2.06995 2.06601
1116.2776 225.09 1.5 2.33229 2.32785
1016.2776 325.09 1.5 3.18477 3.17426
916.2776 125.09 1.5 2.90781 2.90258
916.2776 325.09 1.5 4.72914 4.70113
1016.2776 825.09 1.5 0.00541943 0.00541939
1016.2776 425.09 1.5 0.0407973 0.0407949
1016.2776 925.09 1.5 9.58472e-05 9.57971e-05
1016.2776 225.09 1.5 3.20567 3.19633
916.2776 725.09 1.5 0.0094334 0.00943324
1016.2776 125.09 1.5 3.88508 3.85677
1016.2776 625.09 1.5 0.0158836 0.0158832
916.2776 525.09 1.5 0.0191075 0.0191071
1116.2776 325.09 1.5 2.35017 2.34507
816.2776 625.09 1.5 0.0108163 0.0108162
816.2776 725.09 1.5 0.000289831 0.000289803
1016.2776 725.09 1.5 0.0087529 0.00875282
916.2776 225.09 1.5 5.13048 5.09258
1016.2776 525.09 1.5 0.00775882 0.00775879
916.2776 425.09 1.5 0.0397147 0.0397129
916.2776 625.09 1.5 0.0161353 0.0161349
916.2776 825.09 1.5 0.000196386 0.000196401
1116.2776 825.09 1.5 0.00535098 0.00535096
1116.2776 525.09 1.5 0.013326 0.0133258
1116.2776 925.09 1.5 0.00288248 0.00288247
1116.2776 725.09 1.5 0.00979024 0.00979012
1116.2776 625.09 1.5 0.00951374 0.00951365
1116.2776 425.09 1.5 0.0227615 0.022761
1216.2776 125.09 1.5 1.87926 1.87585
1316.2776 125.09 1.5 1.3041 1.30277
1316.2776 725.09 1.5 0.00681165 0.00681159
1316.2776 225.09 1.5 2.71256 2.70092
1316.2776 625.09 1.5 0.0049236 0.00492359
1316.2776 425.09 1.5 0.0138168 0.0138167
1216.2776 325.09 1.5 2.10764 2.10304
1216.2776 825.09 1.5 0.00597605 0.00597601
1216.2776 1125.09 1.5 5.30416e-05 5.29429e-05
1216.2776 925.09 1.5 0.00608381 0.00608376
1216.2776 1025.09 1.5 0.00280397 0.00280396
1316.2776 325.09 1.5 1.62196 1.61941
1216.2776 525.09 1.5 0.0117799 0.0117797
1216.2776 625.09 1.5 0.00932936 0.00932925
1216.2776 225.09 1.5 2.11415 2.11002
1116.2776 1025.09 1.5 8.06281e-05 8.0739e-05
1216.2776 725.09 1.5 0.0074069 0.00740684
1216.2776 425.09 1.5 0.0239704 0.0239697
1316.2776 525.09 1.5 0.0110753 0.0110751
1316.2776 825.09 1.5 0.00785427 0.00785418
1316.2776 1125.09 1.5 0.00179924 0.00179923
1316.2776 925.09 1.5 0.00692244 0.00692236
1316.2776 1025.09 1.5 0.00503787 0.00503783
1516.2776 325.09 1.5 0.807213 0.806655
1416.2776 225.09 1.5 1.3349 1.33328
1516.2776 425.09 1.5 0.0110561 0.011056
1416.2776 125.09 1.5
1516.2776 125.09 1.5 0.621065 0.620855
1516.2776 225.09 1.5 1.36973 1.36746
1516.2776 625.09 1.5 0.0028595 0.0028595
1516.2776 525.09 1.5 0.00584266 0.00584262
1416.2776 625.09 1.5 0.00399222 0.00399221
1416.2776 925.09 1.5 0.00487878 0.00487875
1416.2776 1125.09 1.5 0.002991 0.00299099
1416.2776 1325.09 1.5 1.76194e-05 1.74478e-05
1416.2776 1225.09 1.5 0.00166224 0.00166224
1416.2776 825.09 1.5 0.00475158 0.00475156
1416.2776 325.09 1.5 1.18729 1.18592
1416.2776 725.09 1.5 0.00368837 0.00368835
1416.2776 525.09 1.5 0.00556513 0.0055651
1416.2776 1025.09 1.5 0.00401859 0.00401857
1316.2776 1225.09 1.5 3.14422e-05 3.18884e-05
1416.2776 425.09 1.5 0.0103715 0.0103714
1516.2776 1125.09 1.5 0.00256559 0.00256558
1516.2776 725.09 1.5 0.00422248 0.00422246
1516.2776 925.09 1.5 0.00371681 0.00371679
1516.2776 1025.09 1.5 0.0030681 0.00306809
1516.2776 825.09 1.5 0.00448675 0.00448672
1716.2776 325.09 1.5 0.655435 0.65501
1616.2776 125.09 1.5 0.584229 0.584004
1616.2776 225.09 1.5 0.749641 0.749214
1516.2776 1325.09 1.5 0.000905189 0.000905195
1616.2776 325.09 1.5 0.996088 0.994783
1616.2776 825.09 1.5 0.00245027 0.00245026
1716.2776 125.09 1.5 0.773909 0.773254
1616.2776 425.09 1.5 0.00651801 0.00651797
1616.2776 625.09 1.5 0.00387533 0.00387531
1716.2776 225.09 1.5 0.624811 0.624485
1616.2776 525.09 1.5 0.00340275 0.00340274
1516.2776 1225.09 1.5 0.00268575 0.00268574
1616.2776 1525.09 1.5 1.45363e-05 1.47273e-05
1616.2776 1325.09 1.5 0.00174613 0.00174614
