mC mH significance bdt_significance
916.2776 225.09 15.1357 15.1357
916.2776 125.09 8.55715 8.55715
916.2776 325.09 17.3208 17.3208
916.2776 425.09 21.1281 21.1281
916.2776 625.09 23.3553 23.3553
916.2776 725.09 23.8519 23.8519
916.2776 525.09 22.7985 22.7985
1016.2776 125.09 6.28391 6.28391
916.2776 825.09 23.0242 23.0242
1016.2776 425.09 15.2473 15.2473
1016.2776 625.09 17.8761 17.8761
1016.2776 525.09 17.0158 17.0158
1116.2776 225.09 8.36136 8.36136
1016.2776 925.09 18.6887 18.6887
1116.2776 925.09 14.9482 14.9482
1116.2776 325.09 10.8881 10.8881
1116.2776 625.09 13.2123 13.2123
1116.2776 125.09 5.06095 5.06095
1216.2776 125.09 3.7048 3.7048
1116.2776 425.09 11.9779 11.9779
1116.2776 725.09 15.0543 15.0543
1116.2776 1025.09 15.3726 15.3726
1116.2776 825.09 15.3051 15.3051
1216.2776 225.09 6.74683 6.74683
1216.2776 425.09 9.78272 9.78272
1216.2776 325.09 8.04858 8.04858
1216.2776 525.09 10.2882 10.2882
1216.2776 725.09 11.1125 11.1125
1316.2776 125.09 2.96598 2.96598
1216.2776 825.09 11.4002 11.4002
1216.2776 625.09 11.0892 11.0892
1316.2776 225.09 5.22908 5.22908
1216.2776 1125.09 12.1934 12.1934
1316.2776 525.09 8.35875 8.35875
1416.2776 125.09 2.30679 2.30679
1416.2776 625.09 7.28144 7.28144
1316.2776 925.09 9.94627 9.94627
1416.2776 325.09 5.52274 5.52274
1316.2776 1125.09 10.3415 10.3415
1416.2776 425.09 6.26268 6.26268
1316.2776 1025.09 10.2962 10.2962
1316.2776 725.09 9.25295 9.25295
1316.2776 825.09 8.64386 8.64386
1316.2776 625.09 8.28748 8.28748
1316.2776 1225.09 9.73244 9.73244
1416.2776 225.09 4.19836 4.19836
1416.2776 925.09 7.79618 7.79618
1416.2776 825.09 7.24391 7.24391
1416.2776 725.09 6.76134 6.76134
1416.2776 1125.09 8.1876 8.1876
1516.2776 225.09 3.27784 3.27784
1416.2776 1325.09 8.73451 8.73451
1516.2776 325.09 4.40514 4.40514
1516.2776 425.09 4.91676 4.91676
1516.2776 725.09 6.01804 6.01804
1516.2776 525.09 5.27662 5.27662
1516.2776 625.09 5.66684 5.66684
1516.2776 125.09 1.70142 1.70142
1516.2776 825.09 5.71887 5.71887
1516.2776 925.09 6.09608 6.09608
1516.2776 1025.09 6.31287 6.31287
1516.2776 1225.09 6.92855 6.92855
1516.2776 1125.09 6.29119 6.29119
1516.2776 1325.09 6.39091 6.39091
1516.2776 1425.09 6.90687 6.90687
1616.2776 125.09 1.31312 1.31312
1616.2776 225.09 2.4975 2.4975
1616.2776 325.09 3.38763 3.38763
1616.2776 625.09 4.60879 4.60879
1616.2776 425.09 4.10488 4.10488
1616.2776 525.09 4.49109 4.49109
1616.2776 925.09 4.96926 4.96926
1616.2776 725.09 4.82213 4.82213
1616.2776 825.09 5.07593 5.07593
1616.2776 1025.09 5.11639 5.11639
1616.2776 1125.09 5.29662 5.29662
1616.2776 1225.09 5.3665 5.3665
1616.2776 1325.09 5.61662 5.61662
1616.2776 1525.09 5.47317 5.47317
1716.2776 225.09 2.24669 2.24669
1616.2776 1425.09 5.68651 5.68651
1716.2776 425.09 3.27067 3.27067
1716.2776 625.09 3.72222 3.72222
1716.2776 125.09 1.08808 1.08808
1716.2776 325.09 2.79777 2.79777
1716.2776 525.09 3.45983 3.45983
1716.2776 725.09 3.97545 3.97545
1716.2776 825.09 3.92969 3.92969
1716.2776 1125.09 4.16156 4.16156
1716.2776 1025.09 4.19817 4.19817
1716.2776 925.09 4.18902 4.18902
1716.2776 1325.09 4.37818 4.37818
1716.2776 1625.09 4.60091 4.60091
1816.2776 225.09 1.83187 1.83187
1816.2776 325.09 2.42284 2.42284
1816.2776 525.09 2.88735 2.88735
1816.2776 1025.09 3.47591 3.47591
1816.2776 1125.09 3.60523 3.60523
1816.2776 1725.09 4.03279 4.03279
1816.2776 1625.09 4.0803 4.0803
1916.2776 125.09 0.810332 0.810332
1816.2776 1225.09 3.56564 3.56564
1816.2776 1325.09 3.4891 3.4891
1816.2776 1525.09 3.92194 3.92194
1816.2776 1425.09 3.72928 3.72928
1916.2776 225.09 1.44564 1.44564
1916.2776 325.09 2.00378 2.00378
1916.2776 425.09 2.32951 2.32951
1916.2776 525.09 2.31603 2.31603
1916.2776 625.09 2.74284 2.74284
1916.2776 725.09 2.77654 2.77654
1916.2776 825.09 2.78328 2.78328
1916.2776 925.09 2.84169 2.84169
1916.2776 1125.09 2.95625 2.95625
1916.2776 1025.09 2.91132 2.91132
1916.2776 1425.09 3.12249 3.12249
1916.2776 1325.09 3.05959 3.05959
1916.2776 1525.09 3.17191 3.17191
1916.2776 1225.09 2.84169 2.84169
1916.2776 1625.09 3.25053 3.25053
1916.2776 1725.09 3.52908 3.52908
1916.2776 1825.09 3.21459 3.21459
2016.2776 225.09 1.32151 1.32151
2016.2776 325.09 1.58873 1.58873
2016.2776 825.09 2.22003 2.22003
2016.2776 525.09 2.14565 2.14565
2016.2776 625.09 2.18379 2.18379
2016.2776 725.09 2.24673 2.24673
2016.2776 425.09 1.96636 1.96636
2016.2776 1025.09 2.43555 2.43555
2016.2776 925.09 2.37642 2.37642
2016.2776 1225.09 2.4241 2.4241
2016.2776 1125.09 2.6091 2.6091
2016.2776 1325.09 2.43936 2.43936
2016.2776 1425.09 2.57096 2.57096
2016.2776 1525.09 2.65869 2.65869
2016.2776 1625.09 2.64916 2.64916
2016.2776 1725.09 2.70065 2.70065
2016.2776 1825.09 2.76359 2.76359
2216.2776 1425.09 1.74171 1.74171
2116.2776 1925.09 2.32634 2.32634
2216.2776 1025.09 1.70972 1.70972
2116.2776 1225.09 2.09272 2.09272
2216.2776 1725.09 1.85022 1.85022
2216.2776 725.09 1.53026 1.53026
2216.2776 825.09 1.62903 1.62903
2216.2776 1625.09 1.77788 1.77788
2116.2776 1825.09 2.27733 2.27733
2216.2776 425.09 1.36749 1.36749
2216.2776 325.09 1.11709 1.11709
2116.2776 1425.09 2.14337 2.14337
2116.2776 2025.09 2.31817 2.31817
2216.2776 1325.09 1.79597 1.79597
2216.2776 1125.09 1.82935 1.82935
2216.2776 1525.09 1.7751 1.7751
2116.2776 1725.09 2.31 2.31
2216.2776 525.09 1.43149 1.43149
2216.2776 2025.09 2.15488 2.15488
2216.2776 1825.09 1.88222 1.88222
2216.2776 925.09 1.70415 1.70415
2216.2776 625.09 1.61094 1.61094
2216.2776 1925.09 1.92673 1.92673
2116.2776 1525.09 2.07312 2.07312
2216.2776 1225.09 1.66937 1.66937
2216.2776 2125.09 1.8697 1.8697
2316.2776 125.09 0.373907 0.373907
2216.2776 225.09 0.854162 0.854162
2316.2776 525.09 1.235 1.235
2316.2776 325.09 0.951776 0.951776
